"","location","price","mdy","timestamp","last4ccnum","H","loyaltynum"
"218","Brew've Been Served",3.03,2014-01-10,2014-01-10 08:09:00,7819,"08","L5259"
"219","Brew've Been Served",3.09,2014-01-08,2014-01-08 07:42:00,4948,"07","L9406"
"220","Brew've Been Served",3.09,2014-01-17,2014-01-17 08:15:00,3853,"08","L1485"
"221","Brew've Been Served",3.14,2014-01-15,2014-01-15 07:58:00,4948,"07","L9406"
"222","Brew've Been Served",3.21,2014-01-14,2014-01-14 08:03:00,1286,"08","L3572"
"223","Brew've Been Served",3.42,2014-01-08,2014-01-08 08:01:00,7384,"08","L3800"
"225","Brew've Been Served",3.47,2014-01-15,2014-01-15 08:06:00,8202,"08","L2343"
"226","Brew've Been Served",3.66,2014-01-14,2014-01-14 07:53:00,6816,"07","L8148"
"227","Brew've Been Served",3.67,2014-01-06,2014-01-06 07:55:00,3484,"07","L2490"
"228","Brew've Been Served",3.71,2014-01-15,2014-01-15 07:34:00,7384,"07","L3800"
"230","Brew've Been Served",3.92,2014-01-08,2014-01-08 08:01:00,8202,"08","L2343"
"231","Brew've Been Served",4.17,2014-01-06,2014-01-06 07:38:00,5368,"07","L2247"
"233","Brew've Been Served",4.24,2014-01-06,2014-01-06 07:37:00,7384,"07","L3800"
"234","Brew've Been Served",4.27,2014-01-06,2014-01-06 08:00:00,5407,"08","L4034"
"236","Brew've Been Served",4.39,2014-01-07,2014-01-07 07:50:00,5407,"07","L4034"
"238","Brew've Been Served",4.7,2014-01-16,2014-01-16 07:53:00,4795,"07","L8566"
"239","Brew've Been Served",4.72,2014-01-14,2014-01-14 07:31:00,4795,"07","L8566"
"241","Brew've Been Served",4.92,2014-01-15,2014-01-15 07:57:00,4795,"07","L8566"
"242","Brew've Been Served",5.01,2014-01-10,2014-01-10 07:45:00,3484,"07","L2490"
"244","Brew've Been Served",5.08,2014-01-07,2014-01-07 07:27:00,7384,"07","L3800"
"245","Brew've Been Served",5.13,2014-01-09,2014-01-09 07:48:00,4795,"07","L8566"
"247","Brew've Been Served",5.29,2014-01-17,2014-01-17 08:17:00,6901,"08","L9363"
"248","Brew've Been Served",5.3,2014-01-09,2014-01-09 07:48:00,7384,"07","L3800"
"249","Brew've Been Served",5.31,2014-01-10,2014-01-10 08:01:00,6901,"08","L9363"
"252","Brew've Been Served",5.66,2014-01-06,2014-01-06 08:07:00,6901,"08","L9363"
"253","Brew've Been Served",5.75,2014-01-15,2014-01-15 07:58:00,8411,"07","L6110"
"254","Brew've Been Served",5.82,2014-01-16,2014-01-16 08:02:00,3853,"08","L1485"
"255","Brew've Been Served",5.87,2014-01-14,2014-01-14 07:40:00,9683,"07","L7291"
"256","Brew've Been Served",5.89,2014-01-10,2014-01-10 08:01:00,1286,"08","L3572"
"259","Brew've Been Served",6.21,2014-01-09,2014-01-09 08:00:00,4434,"08","L2169"
"260","Brew've Been Served",6.3,2014-01-08,2014-01-08 08:18:00,4434,"08","L2169"
"261","Brew've Been Served",6.45,2014-01-14,2014-01-14 07:48:00,3853,"07","L1485"
"262","Brew've Been Served",6.58,2014-01-15,2014-01-15 07:48:00,7819,"07","L5259"
"264","Brew've Been Served",6.69,2014-01-13,2014-01-13 08:22:00,7819,"08","L5259"
"266","Brew've Been Served",7.26,2014-01-08,2014-01-08 08:16:00,1286,"08","L3572"
"267","Brew've Been Served",7.31,2014-01-14,2014-01-14 07:35:00,7354,"07","L9254"
"268","Brew've Been Served",7.31,2014-01-16,2014-01-16 07:50:00,7384,"07","L3800"
"270","Brew've Been Served",8,2014-01-13,2014-01-13 07:40:00,9683,"07","L7291"
"271","Brew've Been Served",8.04,2014-01-13,2014-01-13 07:38:00,7384,"07","L3800"
"272","Brew've Been Served",8.07,2014-01-17,2014-01-17 07:50:00,4948,"07","L9406"
"273","Brew've Been Served",8.18,2014-01-16,2014-01-16 07:34:00,7354,"07","L9254"
"274","Brew've Been Served",8.24,2014-01-14,2014-01-14 07:53:00,7384,"07","L3800"
"275","Brew've Been Served",8.27,2014-01-08,2014-01-08 07:48:00,6816,"07","L8148"
"276","Brew've Been Served",8.33,2014-01-06,2014-01-06 07:35:00,6816,"07","L8148"
"277","Brew've Been Served",8.4,2014-01-08,2014-01-08 07:58:00,5407,"07","L4034"
"278","Brew've Been Served",8.42,2014-01-15,2014-01-15 08:00:00,5368,"08","L2247"
"280","Brew've Been Served",8.88,2014-01-06,2014-01-06 07:59:00,7819,"07","L5259"
"283","Brew've Been Served",9.53,2014-01-13,2014-01-13 07:56:00,4948,"07","L9406"
"284","Brew've Been Served",9.53,2014-01-14,2014-01-14 07:53:00,8202,"07","L2343"
"285","Brew've Been Served",9.6,2014-01-06,2014-01-06 07:43:00,4948,"07","L9406"
"287","Brew've Been Served",10.15,2014-01-08,2014-01-08 08:03:00,6901,"08","L9363"
"288","Brew've Been Served",10.52,2014-01-17,2014-01-17 07:57:00,7354,"07","L9254"
"292","Brew've Been Served",10.96,2014-01-14,2014-01-14 07:45:00,3484,"07","L2490"
"294","Brew've Been Served",11.2,2014-01-06,2014-01-06 08:16:00,8411,"08","L6110"
"295","Brew've Been Served",11.21,2014-01-16,2014-01-16 08:23:00,8411,"08","L6110"
"296","Brew've Been Served",11.23,2014-01-15,2014-01-15 07:49:00,1286,"07","L3572"
"297","Brew've Been Served",11.34,2014-01-06,2014-01-06 07:28:00,4795,"07","L8566"
"298","Brew've Been Served",11.47,2014-01-15,2014-01-15 07:45:00,9405,"07","L3259"
"299","Brew've Been Served",11.48,2014-01-08,2014-01-08 08:09:00,8411,"08","L6110"
"300","Brew've Been Served",11.49,2014-01-13,2014-01-13 08:07:00,1286,"08","L3572"
"301","Brew've Been Served",11.53,2014-01-14,2014-01-14 08:13:00,8411,"08","L6110"
"302","Brew've Been Served",11.69,2014-01-17,2014-01-17 07:36:00,5368,"07","L2247"
"304","Brew've Been Served",11.91,2014-01-07,2014-01-07 08:00:00,4948,"08","L9406"
"305","Brew've Been Served",11.92,2014-01-07,2014-01-07 07:54:00,1286,"07","L3572"
"306","Brew've Been Served",11.94,2014-01-14,2014-01-14 07:58:00,7819,"07","L5259"
"310","Brew've Been Served",12.31,2014-01-14,2014-01-14 08:13:00,6901,"08","L9363"
"313","Brew've Been Served",12.64,2014-01-10,2014-01-10 08:17:00,4434,"08","L2169"
"314","Brew've Been Served",12.67,2014-01-16,2014-01-16 07:52:00,1286,"07","L3572"
"315","Brew've Been Served",12.74,2014-01-07,2014-01-07 07:31:00,5368,"07","L2247"
"319","Brew've Been Served",12.83,2014-01-16,2014-01-16 07:55:00,6816,"07","L8148"
"322","Brew've Been Served",13.32,2014-01-10,2014-01-10 07:48:00,9405,"07","L3259"
"323","Brew've Been Served",13.37,2014-01-13,2014-01-13 08:00:00,8411,"08","L6110"
"324","Brew've Been Served",13.66,2014-01-17,2014-01-17 08:03:00,3484,"08","L2490"
"326","Brew've Been Served",14.04,2014-01-14,2014-01-14 07:45:00,4948,"07","L9406"
"327","Brew've Been Served",14.06,2014-01-15,2014-01-15 07:58:00,3484,"07","L2490"
"328","Brew've Been Served",14.36,2014-01-10,2014-01-10 08:20:00,8411,"08","L6110"
"329","Brew've Been Served",14.45,2014-01-10,2014-01-10 08:09:00,3853,"08","L1485"
"330","Brew've Been Served",14.49,2014-01-07,2014-01-07 08:02:00,9405,"08","L3259"
"331","Brew've Been Served",14.58,2014-01-17,2014-01-17 08:19:00,8411,"08","L6110"
"332","Brew've Been Served",14.67,2014-01-14,2014-01-14 07:27:00,5368,"07","L2247"
"335","Brew've Been Served",14.97,2014-01-06,2014-01-06 08:16:00,1286,"08","L3572"
"336","Brew've Been Served",15.39,2014-01-06,2014-01-06 08:17:00,8202,"08","L2343"
"337","Brew've Been Served",15.46,2014-01-17,2014-01-17 08:22:00,7819,"08","L5259"
"338","Brew've Been Served",15.5,2014-01-15,2014-01-15 07:36:00,6816,"07","L8148"
"339","Brew've Been Served",15.58,2014-01-06,2014-01-06 08:06:00,4434,"08","L2169"
"340","Brew've Been Served",15.58,2014-01-15,2014-01-15 08:02:00,3853,"08","L1485"
"341","Brew've Been Served",15.66,2014-01-07,2014-01-07 08:09:00,8411,"08","L6110"
"342","Brew've Been Served",15.66,2014-01-08,2014-01-08 07:31:00,7354,"07","L9254"
"344","Brew've Been Served",15.85,2014-01-10,2014-01-10 07:35:00,6816,"07","L8148"
"345","Brew've Been Served",16.05,2014-01-13,2014-01-13 08:04:00,4434,"08","L2169"
"347","Brew've Been Served",16.39,2014-01-14,2014-01-14 08:07:00,5407,"08","L4034"
"348","Brew've Been Served",16.53,2014-01-14,2014-01-14 07:45:00,9405,"07","L3259"
"349","Brew've Been Served",16.62,2014-01-17,2014-01-17 08:04:00,9405,"08","L3259"
"351","Brew've Been Served",16.9,2014-01-06,2014-01-06 07:43:00,9683,"07","L7291"
"352","Brew've Been Served",16.9,2014-01-16,2014-01-16 08:19:00,7819,"08","L5259"
"353","Brew've Been Served",17.13,2014-01-08,2014-01-08 08:01:00,7819,"08","L5259"
"355","Brew've Been Served",17.4,2014-01-07,2014-01-07 07:58:00,8202,"07","L2343"
"356","Brew've Been Served",17.44,2014-01-16,2014-01-16 08:09:00,4434,"08","L2169"
"357","Brew've Been Served",17.64,2014-01-09,2014-01-09 08:14:00,1286,"08","L3572"
"358","Brew've Been Served",18.15,2014-01-17,2014-01-17 08:12:00,5407,"08","L4034"
"360","Brew've Been Served",18.24,2014-01-06,2014-01-06 08:06:00,3853,"08","L1485"
"363","Brew've Been Served",18.58,2014-01-15,2014-01-15 08:14:00,6901,"08","L9363"
"364","Brew've Been Served",18.71,2014-01-13,2014-01-13 07:43:00,4795,"07","L8566"
"365","Brew've Been Served",19.17,2014-01-08,2014-01-08 07:48:00,9683,"07","L7291"
"367","Brew've Been Served",19.39,2014-01-17,2014-01-17 07:59:00,4795,"07","L8566"
"368","Brew've Been Served",19.47,2014-01-09,2014-01-09 07:58:00,6901,"07","L9363"
"370","Brew've Been Served",19.64,2014-01-13,2014-01-13 07:53:00,7354,"07","L9254"
"371","Brew've Been Served",19.87,2014-01-15,2014-01-15 07:40:00,9683,"07","L7291"
"372","Brew've Been Served",19.89,2014-01-13,2014-01-13 08:23:00,8202,"08","L2343"
"373","Brew've Been Served",19.9,2014-01-16,2014-01-16 07:36:00,3484,"07","L2490"
"401","Brewed Awakenings",3.62,2014-01-15,2014-01-15 12:00:00,8332,"12","L2070"
"402","Brewed Awakenings",4.35,2014-01-06,2014-01-06 12:00:00,8332,"12","L2070"
"404","Brewed Awakenings",5.72,2014-01-06,2014-01-06 12:00:00,7688,"12","L4164"
"405","Brewed Awakenings",6,2014-01-17,2014-01-17 12:00:00,8332,"12","L2070"
"406","Brewed Awakenings",6.17,2014-01-10,2014-01-10 12:00:00,2540,"12","L5947"
"407","Brewed Awakenings",6.39,2014-01-16,2014-01-16 12:00:00,8332,"12","L2070"
"408","Brewed Awakenings",6.53,2014-01-16,2014-01-16 12:00:00,2540,"12","L5947"
"409","Brewed Awakenings",6.72,2014-01-07,2014-01-07 12:00:00,8332,"12","L2070"
"410","Brewed Awakenings",8.16,2014-01-17,2014-01-17 12:00:00,7688,"12","L4164"
"411","Brewed Awakenings",8.3,2014-01-14,2014-01-14 12:00:00,2540,"12","L5947"
"413","Brewed Awakenings",11.35,2014-01-14,2014-01-14 12:00:00,8332,"12","L2070"
"416","Brewed Awakenings",11.73,2014-01-08,2014-01-08 12:00:00,7688,"12","L4164"
"419","Brewed Awakenings",12.32,2014-01-08,2014-01-08 12:00:00,2540,"12","L5947"
"421","Brewed Awakenings",12.69,2014-01-13,2014-01-13 12:00:00,7688,"12","L4164"
"423","Brewed Awakenings",13.16,2014-01-09,2014-01-09 12:00:00,2540,"12","L5947"
"424","Brewed Awakenings",13.82,2014-01-10,2014-01-10 12:00:00,7688,"12","L4164"
"425","Brewed Awakenings",13.9,2014-01-10,2014-01-10 12:00:00,8332,"12","L2070"
"428","Brewed Awakenings",16.25,2014-01-13,2014-01-13 12:00:00,8332,"12","L2070"
"430","Brewed Awakenings",16.89,2014-01-06,2014-01-06 12:00:00,2540,"12","L5947"
"431","Brewed Awakenings",17.14,2014-01-14,2014-01-14 12:00:00,7688,"12","L4164"
"432","Brewed Awakenings",17.66,2014-01-09,2014-01-09 12:00:00,8332,"12","L2070"
"439","Carlyle Chemical Inc.",227.81,2014-01-10,2014-01-10 09:09:00,9614,"09","L5924"
"440","Carlyle Chemical Inc.",382.43,2014-01-09,2014-01-09 14:26:00,7792,"14","L5756"
"441","Carlyle Chemical Inc.",419.93,2014-01-16,2014-01-16 09:52:00,7792,"09","L5756"
"442","Carlyle Chemical Inc.",529.47,2014-01-09,2014-01-09 09:54:00,7792,"09","L5756"
"443","Carlyle Chemical Inc.",732.82,2014-01-09,2014-01-09 11:21:00,4530,"11","L8477"
"446","Carlyle Chemical Inc.",1112.04,2014-01-15,2014-01-15 14:25:00,7792,"14","L5756"
"447","Carlyle Chemical Inc.",1392.73,2014-01-15,2014-01-15 17:01:00,7792,"17","L5756"
"448","Carlyle Chemical Inc.",1718.96,2014-01-13,2014-01-13 12:00:00,9220,"12","L4063"
"449","Carlyle Chemical Inc.",1814.24,2014-01-16,2014-01-16 17:17:00,7792,"17","L5756"
"450","Carlyle Chemical Inc.",2176.2,2014-01-09,2014-01-09 16:22:00,7792,"16","L5756"
"452","Carlyle Chemical Inc.",3470.99,2014-01-14,2014-01-14 16:16:00,7792,"16","L5756"
"454","Carlyle Chemical Inc.",3608.08,2014-01-15,2014-01-15 09:34:00,7792,"09","L5756"
"455","Carlyle Chemical Inc.",3630.57,2014-01-14,2014-01-14 09:34:00,7792,"09","L5756"
"457","Carlyle Chemical Inc.",3959.66,2014-01-06,2014-01-06 11:57:00,9220,"11","L4063"
"459","Carlyle Chemical Inc.",4901.88,2014-01-08,2014-01-08 14:26:00,7792,"14","L5756"
"460","Carlyle Chemical Inc.",4983.52,2014-01-08,2014-01-08 13:03:00,4530,"13","L8477"
"461","Chostus Hotel",107.51,2014-01-08,2014-01-08 12:56:00,2540,"12","L5947"
"462","Chostus Hotel",109.54,2014-01-14,2014-01-14 13:17:00,2540,"13","L5947"
"463","Chostus Hotel",111.89,2014-01-08,2014-01-08 13:19:00,9683,"13","L7291"
"464","Chostus Hotel",113.08,2014-01-14,2014-01-14 13:21:00,9683,"13","L7291"
